Titulos;Vencimento;Ult. 30 dias;Mesanterior;No ano;12 meses;Compra;Venda;Posicao em
Tesouro Prefixado;01/01/2026;      1,06;      0,96;      8,11;      9,31;-;     14,99;18/07/2025
Tesouro Prefixado;01/01/2027;      0,74;      0,67;      9,66;      7,19;-;     14,43;18/07/2025
Tesouro Prefixado;01/01/2028;      0,43;      0,99;-;-;     13,70;     13,82;18/07/2025
Tesouro Prefixado;01/01/2029;      0,18;      1,48;     12,70;      5,32;-;     13,80;18/07/2025
Tesouro Prefixado;01/01/2031;     -0,60;      1,81;     13,19;      1,72;-;     14,01;18/07/2025
Tesouro Prefixado;01/01/2032;     -1,07;      1,61;-;-;     13,98;     14,10;18/07/2025
Tesouro Prefixado com Juros Semestrais;01/01/2027;      0,76;      0,72;      9,38;      7,76;-;     14,40;18/07/2025
Tesouro Prefixado com Juros Semestrais;01/01/2029;      0,32;      1,35;     11,74;      6,21;-;     13,86;18/07/2025
Tesouro Prefixado com Juros Semestrais;01/01/2031;     -0,11;      1,47;     11,47;      3,76;-;     14,13;18/07/2025
Tesouro Prefixado com Juros Semestrais;01/01/2033;     -0,47;      1,30;     11,07;      1,74;-;     14,11;18/07/2025
Tesouro Prefixado com Juros Semestrais;01/01/2035;     -0,48;      1,14;     10,22;     -0,17;     14,06;     14,18;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2026;      0,42;      0,14;      5,29;      8,04;-;     10,26;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2030;     -0,66;     -0,15;      5,83;      4,45;-;      7,89;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2032;     -0,77;     -0,23;      5,76;      3,15;-;      7,78;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/05/2035;     -0,94;     -0,04;      5,98;      2,03;      7,44;      7,56;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2040;     -1,57;      0,17;      4,26;     -0,04;-;      7,41;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/05/2045;     -2,17;      0,18;      4,77;     -0,76;      7,29;      7,41;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2050;     -1,32;      0,13;      6,55;     -0,47;-;      7,29;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/05/2055;     -1,73;      0,34;      6,48;     -1,69;-;      7,27;18/07/2025
Tesouro IPCA+ com Juros Semestrais;15/08/2060;     -1,53;      0,33;-;-;      7,16;      7,28;18/07/2025
Tesouro Educa+;15/12/2030;     -0,17;     -0,14;      5,85;      5,80;      8,18;      8,30;18/07/2025
Tesouro Educa+;15/12/2031;     -0,47;     -0,22;      5,93;      4,58;      7,92;      8,04;18/07/2025
Tesouro Educa+;15/12/2032;     -0,74;     -0,26;      5,96;      3,48;      7,75;      7,87;18/07/2025
Tesouro Educa+;15/12/2033;     -0,87;     -0,19;      5,89;      2,54;      7,62;      7,74;18/07/2025
Tesouro Educa+;15/12/2034;     -1,04;     -0,17;      5,81;      1,53;      7,54;      7,66;18/07/2025
Tesouro Educa+;15/12/2035;     -1,11;     -0,08;      5,87;      0,77;      7,46;      7,58;18/07/2025
Tesouro Educa+;15/12/2036;     -1,28;     -0,02;      5,74;     -0,08;      7,40;      7,52;18/07/2025
Tesouro Educa+;15/12/2037;     -1,34;      0,07;      5,63;     -0,82;      7,33;      7,45;18/07/2025
Tesouro Educa+;15/12/2038;     -1,57;      0,10;      5,21;     -1,64;      7,28;      7,40;18/07/2025
Tesouro Educa+;15/12/2039;     -1,90;      0,16;      4,52;     -2,60;      7,24;      7,36;18/07/2025
Tesouro Educa+;15/12/2040;     -2,13;      0,23;      3,77;     -3,51;      7,21;      7,33;18/07/2025
Tesouro Educa+;15/12/2041;     -2,48;      0,32;      3,22;     -4,36;      7,19;      7,31;18/07/2025
Tesouro Educa+;15/12/2042;     -2,72;      0,43;      2,93;     -5,04;      7,17;      7,29;18/07/2025
Tesouro Educa+;15/12/2043;     -3,10;      0,26;      2,65;     -5,78;      7,17;      7,29;18/07/2025
Tesouro Educa+;15/12/2044;     -3,49;      0,55;      2,71;     -6,33;      7,17;      7,29;18/07/2025
Tesouro Educa+;15/12/2045;     -3,74;      0,37;      2,98;     -6,65;      7,17;      7,29;18/07/2025
Tesouro Educa+;15/12/2046;     -3,83;      0,35;      3,67;     -6,92;      7,16;      7,28;18/07/2025
Tesouro Educa+;15/12/2047;     -3,89;      0,33;-;-;      7,14;      7,26;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2049;     -2,10;      0,14;      4,94;     -2,58;      7,25;      7,37;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2054;     -2,67;      0,38;      5,32;     -5,61;      7,12;      7,24;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2059;     -3,07;      0,49;      6,31;     -8,21;      7,05;      7,17;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2064;     -2,94;      0,70;      8,85;    -10,35;      7,00;      7,12;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2069;     -2,75;      1,00;     10,14;    -13,14;      6,97;      7,09;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2074;     -2,61;      1,41;      9,83;    -15,86;      6,97;      7,09;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2079;     -2,68;      1,50;      9,32;    -18,68;      6,98;      7,10;18/07/2025
Tesouro Renda+ Aposentadoria Extra;15/12/2084;     -3,09;      1,59;      9,57;    -21,69;      6,98;      7,10;18/07/2025
Tesouro IPCA+;15/08/2026;      0,40;      0,11;      5,19;      7,61;-;     10,26;18/07/2025
Tesouro IPCA+;15/05/2029;     -0,66;     -0,23;      6,14;      4,82;      7,85;      7,97;18/07/2025
Tesouro IPCA+;15/05/2035;     -1,35;     -0,02;      6,03;     -0,72;-;      7,45;18/07/2025
Tesouro IPCA+;15/08/2040;     -2,79;      0,42;-;-;      7,15;      7,27;18/07/2025
Tesouro IPCA+;15/05/2045;     -4,42;      0,52;      3,69;     -7,44;-;      7,30;18/07/2025
Tesouro IPCA+;15/08/2050;     -1,51;      0,23;-;-;      6,96;      7,08;18/07/2025
Tesouro IGPM+ com Juros Semestrais;01/01/2031;     -2,73;     -1,93;      0,99;      2,94;-;      7,92;18/07/2025
Tesouro Selic;01/03/2026;      1,16;      1,10;      7,32;     12,39;-;      0,01;18/07/2025
Tesouro Selic;01/03/2027;      1,15;      1,09;      7,39;     12,54;-;      0,04;18/07/2025
Tesouro Selic;01/03/2028;      1,13;      1,10;-;-;      0,05;      0,06;18/07/2025
Tesouro Selic;01/03/2029;      1,15;      1,07;      7,49;     12,73;-;      0,10;18/07/2025
Tesouro Selic;01/03/2031;      1,14;      1,07;-;-;      0,10;      0,11;18/07/2025
