Symbol,Monthly Return,Equity Close Price,Volatility,Average Volume,Média de close_price
ABEV3,"-0,36%",13.71,"1,55%","33953480,0",13.18864406779661
B3SA3,"-1,48%",13.95,"2,34%","37742863,3",13.535254237288134
BBAS3,"-2,76%",21.88,"1,82%","20723636,7",21.70559322033899
BBDC4,"-1,81%",18.97,"1,90%","29111876,7",18.46830508474576
ELET3,"-17,69%",50.25,"5,03%","10831526,7",58.05101694915255
ITUB4,"1,52%",39.72,"1,72%","22738561,8",38.52666101694915
MGLU3,"2,93%",8.95,"3,29%","19447736,7",8.796866101694915
PETR4,"-8,15%",30.2,"1,23%","35596706,7",31.1364406779661
VALE3,"12,11%",73.12,"1,49%","25068756,7",66.17305084745763
WEGE3,"9,35%",48.08,"1,44%","7912713,3",44.173389830508484
